,START,UPTIME,TEMP,PRESURE,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,RSSI,GROUND_UTIME,END
,CVC-CANSAT-START,189.42,19.208,991.63,-0.00856677,-0.00307819,-0.000801075,-0.000372495,8.32856e-05,4.43764e-06, -77, 29.29,CVC-CANSAT-END 
,CVC-CANSAT-START,190.213,19.2105,991.624,-0.00856534,-0.00310542,-0.000779579,-0.000371839,8.33211e-05,4.65065e-06, -77, 30.089,CVC-CANSAT-END 
,CVC-CANSAT-START,191.013,19.2031,991.616,-0.00855674,-0.00307102,-0.000856964,-0.000372229,8.32323e-05,4.36664e-06, -77, 30.89,CVC-CANSAT-END 
,CVC-CANSAT-START,191.813,19.2057,991.576,-0.00855961,-0.00305526,-0.000798209,-0.000371537,8.30726e-05,3.88737e-06, -77, 31.69,CVC-CANSAT-END 
,CVC-CANSAT-START,192.614,19.1932,991.619,-0.0085768,-0.00307962,-0.000785311,-0.000371164,8.28773e-05,4.29563e-06, -76, 32.485,CVC-CANSAT-END 
,CVC-CANSAT-START,193.409,19.1957,991.609,-0.00858827,-0.00304953,-0.000881326,-0.000371217,8.31968e-05,4.52639e-06, -77, 33.285,CVC-CANSAT-END 
,CVC-CANSAT-START,194.208,19.1906,991.576,-0.0085682,-0.00308249,-0.000963009,-0.000372975,8.39246e-05,4.40214e-06, -74, 34.081,CVC-CANSAT-END 
,CVC-CANSAT-START,195.004,19.1832,991.557,-0.0086026,-0.00307819,-0.000869861,-0.00037072,8.30016e-05,3.90512e-06, -74, 34.875,CVC-CANSAT-END 
,CVC-CANSAT-START,195.799,19.1783,991.582,-0.00859113,-0.00306529,-0.000862696,-0.000372744,8.34098e-05,4.13588e-06, -73, 35.675,CVC-CANSAT-END 
,CVC-CANSAT-START,196.599,19.1807,991.572,-0.00856677,-0.00305956,-0.000861263,-0.000370596,8.34631e-05,4.9169e-06, -72, 36.471,CVC-CANSAT-END 
,CVC-CANSAT-START,197.394,19.1684,991.583,-0.00854671,-0.00306959,-0.000851231,-0.000372176,8.28596e-05,4.82815e-06, -73, 37.271,CVC-CANSAT-END 
,CVC-CANSAT-START,198.195,19.1732,991.594,-0.00854957,-0.00306099,-0.000717958,-0.000372726,8.26111e-05,4.38439e-06, -73, 38.071,CVC-CANSAT-END 
,CVC-CANSAT-START,198.995,19.1732,991.602,-0.0085768,-0.00308822,-0.000813972,-0.00037104,8.26643e-05,4.63289e-06, -73, 38.865,CVC-CANSAT-END 
,CVC-CANSAT-START,199.788,19.1684,991.593,-0.00859543,-0.00308965,-0.000894223,-0.000372992,8.27353e-05,4.61514e-06, -73, 39.665,CVC-CANSAT-END 
,CVC-CANSAT-START,200.588,19.1709,991.593,-0.0085854,-0.00309539,-0.000877026,-0.000371466,8.26466e-05,4.54414e-06, -73, 40.459,CVC-CANSAT-END 
,CVC-CANSAT-START,201.383,19.1658,991.546,-0.00861549,-0.00309109,-0.000842633,-0.000370756,8.28063e-05,4.36664e-06, -74, 41.259,CVC-CANSAT-END 
,CVC-CANSAT-START,202.183,19.1658,991.548,-0.0085897,-0.00304093,-0.000851231,-0.000371306,8.31258e-05,4.36664e-06, -77, 42.054,CVC-CANSAT-END 
,CVC-CANSAT-START,202.978,19.1633,991.595,-0.00855817,-0.00311832,-0.00075665,-0.000373347,8.29838e-05,4.54414e-06, -76, 42.849,CVC-CANSAT-END 
,CVC-CANSAT-START,203.773,19.1559,991.569,-0.00857393,-0.00306959,-0.00082257,-0.00037214,8.25756e-05,4.20688e-06, -76, 43.648,CVC-CANSAT-END 
,CVC-CANSAT-START,204.573,19.1584,991.563,-0.00858253,-0.00305956,-0.000802508,-0.000371839,8.33566e-05,4.17138e-06, -74, 44.449,CVC-CANSAT-END 
